Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latin America,22700,22055,21575,21605,22500,22470,24424,24156,23146,23049,22845.8,25865.8,28442.8,25734.3,26766.3,26382,25390.7,25783,25088.5,25479.5,26408.5,26801.7,32156.7,33261.7,36128.7,62602.9,63916.8,67493,68641.6,69215.7,71147.7,74281.2,78657.5,80286.1,81264.8,83376.7,90020.1,92914.3,95287.198,97303.63,97698.588,99009.008,100913,101555.195,104373.188,104635.009,111255.45,125084.6,197292.171,236074.993,322166.544,325484,326782,330293.11,331227.92,332465.277,329688.8,329283,330461,331628,330719,329481,331265
Argentina,2200,2400,2400,2300,2000,1900,2905,2905,3100,4000,4500,2500,4900,2500,2346,2465,2300,2503,2400,2400,2464,2426,2429,2450,2349,2316,2233,2246,2280,2168,1570,1683,2017,2217,2253,2386,2588,2621,2753,3071,2974,2879,2821,2675,2478,2320,2468,2587,2616,2520,2504.68,2505,2805,2820,2354.2,2379.702,2185,2162,2017,2389,2483,2411,2838
Brazil,300,325,300,300,900,500,1000,700,850,882,850,1000,857,799,775,780,800,880,1200,1220,1300,1325.1,1750,1850,1976,2070,2250,2340,2550,2816,4451.1,4818.5,4966,4982.3,5374.6,6223.2,6680.8,7106,7357,8153,8464,8485,10535,11302,11591,11772,12182,12624,11722,11899,11985,12841,13154,15049.9,15544,16184.1,12999.8,12634,12835,13435,12715,11890,13242
Colombia,750,750,850,900,1200,1500,1700,2000,1700,1750,1675,1663,1500,1432,900,556.6,825,960,750,710,553.7,530.9,610,635.1,1108,1243.5,1296.2,1907.1,2124.9,1984.2,1990.6,1884.5,3231.8,3156.3,3138.3,2951.8,2798,2577,2478,2289,1972,1842,1632,1542,1478,1453,1509,1510,1510,1362,1360,1900,2200,2377,2445,2308,2002,1665,1782,1960,2036,1820,2040
Ecuador,30,30,25,25,25,20,18,25,325,500,750,5748,5750,5675,2500,2450,1700,1640,1170,1100,1100,850,850,860,1181.1,1148,1235.1,1594.3,1514.9,1441.6,1355.2,1524.3,3240,3659.8,3491.2,3385.3,3453,3674,4102,4428,4566,4630,5060,5060,5180,5180,5180,6368,6511,6511,7206,8235,8235,8832,8273,8273,8273,8273,8273,8273,8273,8273,8273
Venezuela,18500,17550,17000,17000,17000,17250,17400,17000,15500,14750,14000,13762,13919,13812,18567,18398,18228,18039,18228,18523,19530,19888,24900,25887,28028,54454,55521,58101,58505,59040,60054,62649,63330,64448,64877,66329,72667,74930.8,76108.367,76848.08,76848.08,77685,77307,77226.186,79729.179,80012,87323.6,99377.4,172323,211173.193,296501.064,297571,297735,298350,299953.17,300878,302250,302809,303806,303806,303561,303468,303221
IR Iran,35000,35000,37000,37000,38000,40000,44200,43800,54000,55000,60000,58344,65000,62861,66000,64500,63000,62000,60088,58833,58296,57020,56148,55257,58874,59000,92860,92860,92860,92860,92850,92860,92860,92860,94300,93700,92600,92600,93700,93100,99530,99080,130690,133250,132460,136270,138400,136150,137620,137010,151170,154580,157300,157800,157530,158400,157200,155600,155600,208600,208600,208600,208600
Iraq,27000,26500,26000,25500,25000,25000,24000,23500,28000,27500,32000,35990,29000,31500,35000,34300,34000,34500,32100,31000,30000,32000,59000,65000,65000,65000,72000,100000,100000,100000,100000,100000,100000,100000,100000,100000,112000,112500,112500,112500,112500,115000,115000,115000,115000,115000,115000,115000,115000,115000,143100,141350,140300,144211,143069.4,142503,148765.5,147223,145019,145019,145019,145019,145019
Kuwait,65000,65000,66725,68500,69225,68700,75200,76750,76500,74500,79950,78198,72900,72750,81450,71200,70550,70100,69440,68530,67930,67730,67150,67000,92710,92464,94522.1,94525,94525,97125,97025,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,96500,99000,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500,101500
Oman,0,0,0,0,500,500,500,2500,2500,5000,4000,5200,5000,5250,6000,5900,5800,5650,2500,2400,2493,2908,2991,3500,3852,4026,3972,4088,4119,4269,4361,4471,4748,4970,5138,5172,5238,5400,5400,5700,5848,5900,5706,5572,5572,5572,5572,5572,5572,5500,5500,5500,5500,4974.3,5151,5306,5373,5373,5373,5373,5373,5373,5373
