Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,409.6,424.3,453.4,444,456.6,480.6,464.6,505.4,600.7,742.3,853.6,892.1,1080.8,1338.5,1374.5,1306.5,1503.609,1686.157,1635.199,1590.809,1575.667,1604.189,1324.838,1245.285,1280.806,1178.14,1251.647,1158.115,1170.421,1238.863,1299.37,1449.937,1347.765,1327.337,1332.822,1328.408,1326.762,1330.403,1315.422,1207.115,1271.579,1214.268,1124.786,1139.649,1086.445,961.408,896.285,837.751,856.579,826.482,824.518,794.184,763.396,727.162,697.279,690.066,737.918,710.197,684.584,664.047,630.762,585.025,539.2
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.872,268.405,282.285,345.274,407.653,412.288,473.027,452.068,495.93,537.871,572.063,586.654,588.622,566.81,567.942,638.165,632.948,616.267,637.963,609.565,597.275,579.36,596.298,622.129,623.58,571.414,574.323,565.641,568.41,537.088,519.019,455.789,471.495,462.384,492.63,545,546.164,542.553,539.164,505.94,456.355,418.049,396.915
Thailand,0.1,0,0.1,0.1,0.2,0,0.2,0,0,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.3,6.203,13.503,20.775,20.1,16.7,19.192,20.204,22.759,23.274,24.943,23.719,25.074,42.427,55.134,26.15,28.415,33.037,57.222,61.923,75.575,95.767,85.596,113.948,128.871,134.627,143.918,154.052,153.227,140.101,148.94,149.452,138.537,152.408,163.199,141.134,129.14,125.929,117.036,97.605,78.833
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,66.997,99.082,122.548,140.507,173.301,175.451,191.008,230,260,307.232,342.899,343.751,364.334,408.914,377.521,351.231,311.354,297.033,326.901,299.452,304.186,334.918,333.181,311.838,338.447,303.842,272.03,240.323,221.608,193.721,184.414,179.721
Argentina,168.239,226.962,263.369,260.531,268.361,263.565,280.888,307.607,335.598,348.81,384.533,417.295,435.309,419.726,415.679,391.986,388.202,436.189,450.696,471.671,491.591,497.916,491.337,491.374,479.135,460.29,434.462,428.999,445.301,459.116,483.541,490.095,554.156,593.72,667.694,719.26,783.128,834.101,846.934,801.435,769.24,781.853,757.249,740.013,694.693,664.569,657.673,641.485,641.59,603.611,589.162,553.381,549.279,539.964,532.222,532.274,510.56,479.529,489.447,508.63,480.344,512.942,582.23
Brazil,85.114,100.369,97.423,103.315,95.424,98.896,122.358,154.236,171.911,164.336,164.336,170.484,166.934,170.178,177.427,171.979,166.716,160.804,160.309,165.595,181.542,213.434,259.899,329.797,461.828,547.229,572.907,566.525,554.785,596.057,631.279,623.593,628.027,643.287,668.019,693.024,783.751,841.6,975.433,1098.023,1231.216,1292.779,1454.398,1496.105,1477.37,1633.574,1722.734,1747.985,1812.101,1950.411,2054.732,2105.37,2061.322,2023.86,2254.586,2437.296,2509.954,2621.797,2586.54,2787.668,2939.833,2905.066,3021.636
Colombia,152.5,145.8,142.2,165.5,171,198.9,195.9,187.7,173,210.4,218.047,214.803,194.283,183.256,166.594,155.625,144.837,136.393,129.629,123.307,124.6,134,141.566,152.122,167.005,176.434,301.965,385.047,374.796,404.268,439.544,425.678,438.354,453.157,454.04,584.886,625.093,652.47,746.898,815.488,687.235,603.675,578.135,541.122,531.29,525.769,531.047,529.545,588.12,670.526,785.441,915.153,944.219,1008.178,990.34,1005.6,883.251,853.578,865.205,885.863,780.964,736.205,754.247
Ecuador,7.5,8,7,6.8,7.6,7.8,7.3,6.2,5,4.4,4.1,3.7,78.1,208.8,177,160.9,187.858,183.438,201.794,214.218,204.075,211.1,210.3,237.5,259.919,278.9,256.523,180.859,301.971,278.279,285.789,299.786,320.183,340.432,372.696,380.505,377.93,381.777,367.347,362.626,392.203,394.481,378.568,402.029,517.502,531.989,535.501,511.181,501.188,465.23,475.301,500.26,503.599,526.344,556.552,543.099,549.021,531.309,517.241,530.841,479.481,472.822,480.962
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.058,73.456,108.992,275.778
Venezuela,2846.1,2919.9,3199.8,3247.9,3392.8,3472.9,3371.1,3542.1,3604.8,3594.1,3708,3549.1,3219.9,3366,2976.3,2346.2,2294.401,2237.899,2165.527,2356.407,2165,2108.3,1895,1800.8,1695.5,1564,1648.5,1575.5,1578.137,1747.4,2135.2,2286.2,2345.6,2326,2367.9,2378.5,2381,2411,3120,2800.4,2891,2791.904,2782,2643,3009.4,3066.8,3035.6,2981.923,2957.536,2878.06,2853.638,2880.907,2803.93,2789.486,2682.633,2653.871,2372.503,2034.802,1510.2,1012.605,568.571,636,716.395
